question,answer,cleaned_answer
do you have information about vitamin a,"summary : vitamins are substances that your body needs to grow and develop normally. vitamin a plays a role in your       - vision    - bone growth    - reproduction    - cell functions    - immune system       vitamin a is an antioxidant. it can come from plant or animal sources. plant sources include colorful fruits and vegetables. animal sources include liver and whole milk. vitamin a is also added to foods like cereals.    vegetarians, young children, and alcoholics may need extra vitamin a. you might also need more if you have certain conditions, such as liver diseases, cystic fibrosis, and crohn's disease. check with your health care provider to see if you need to take vitamin a supplements.    nih: national institutes of health office of dietary supplements","Vitamin A plays a role in vision, bone growth, reproduction, cell functions, and immune system. It is an antioxidant that can come from plant or animal sources, including colorful fruits and vegetables, liver, and whole milk."
do you have information about vitamin c,"summary : vitamins are substances that your body needs to grow and develop normally. vitamin c is an antioxidant. it is important for your skin, bones, and connective tissue. it promotes healing and helps the body absorb iron.    vitamin c comes from fruits and vegetables. good sources include citrus, red and green peppers, tomatoes, broccoli, and greens. some juices and cereals have added vitamin c.    some people may need extra vitamin c:       - pregnant/breastfeeding women    - smokers    - people recovering from surgery    - burn victims","Vitamin C is an antioxidant that promotes healing, helps absorb iron, and is important for skin, bones, and connective tissue. It can be found in fruits and vegetables such as citrus, peppers, tomatoes, broccoli, and greens, as well as some juices and cereals. Certain individuals, including pregnant/breastfeeding women, smokers, and those recovering from surgery or burn victims, may require extra vitamin C."
do you have information about vitamin d,"summary : vitamins are substances that your body needs to grow and develop normally. vitamin d helps your body absorb calcium. calcium is one of the main building blocks of bone. a lack of vitamin d can lead to bone diseases such as osteoporosis or rickets. vitamin d also has a role in your nerve, muscle, and immune systems.    you can get vitamin d in three ways: through your skin, from your diet, and from supplements. your body forms vitamin d naturally after exposure to sunlight. however, too much sun exposure can lead to skin aging and skin cancer. so many people try to get their vitamin d from other sources.    vitamin d-rich foods include egg yolks, saltwater fish, and liver. some other foods, like milk and cereal, often have added vitamin d.     you can also take vitamin d supplements. check with your health care provider to see how much you should take. people who might need extra vitamin d include       - seniors    - breastfed infants    - people with dark skin    - people with certain conditions, such as liver diseases, cystic fibrosis and crohn's disease    - people who are obese or have had gastric bypass surgery       nih: national institutes of health office of dietary supplements","Vitamin D helps the body absorb calcium, which is essential for bone growth and development. A lack of vitamin D can lead to bone diseases such as osteoporosis or rickets. It can be obtained through sun exposure, diet, or supplements. Vitamin D-rich foods include egg yolks, saltwater fish, and liver, while some foods may have added vitamin D. Supplements can also be taken, but it's recommended to consult a healthcare provider for the appropriate dosage. Certain individuals, such as seniors, breastfed infants, and those with certain medical conditions, may need extra vitamin D."
do you have information about vitamin e,"summary : vitamins are substances that your body needs to grow and develop normally. vitamin e is an antioxidant. it plays a role in your immune system and metabolic processes.    good sources of vitamin e include       - vegetable oils    - margarine    - nuts and seeds    - leafy greens       vitamin e is also added to foods like cereals. most people get enough vitamin e from the foods they eat. people with certain disorders, such as liver diseases, cystic fibrosis, and crohn's disease may need extra vitamin e.     vitamin e supplements may be harmful for people who take blood thinners and other medicines. check with your health care provider before taking the supplements.    nih: national institutes of health office of dietary supplements","Vitamin E is an antioxidant that plays a role in the immune system and metabolic processes. It can be found in vegetable oils, margarine, nuts and seeds, leafy greens, and is also added to some foods like cereals. Most people get enough vitamin E from their diet, but those with certain disorders may need extra. Vitamin E supplements can be harmful for some individuals, so it's recommended to consult a healthcare provider before taking them."
do you have information about vitamin k,"summary : vitamins are substances that your body needs to grow and develop normally. vitamin k helps your body by making proteins for healthy bones and tissues. it also makes proteins for blood clotting. if you don't have enough vitamin k, you may bleed too much.    newborns have very little vitamin k. they usually get a shot of vitamin k soon after they are born.    if you take blood thinners, you need to be careful about how much vitamin k you get. you also need to be careful about taking vitamin e supplements. vitamin e can interfere with how vitamin k works in your body. ask your health care provider for recommendations about these vitamins.    there are different types of vitamin k. most people get vitamin k from plants such as green vegetables, and dark berries. bacteria in your intestines also produce small amounts of another type of vitamin k.","Vitamin K helps your body by making proteins for healthy bones and tissues, as well as blood clotting. Newborns have low levels of vitamin K and typically receive a shot soon after birth. If you take blood thinners, you should be cautious about vitamin K intake, and also avoid taking vitamin E supplements as they can interfere with vitamin K's effects. Vitamin K can be found in plants like green vegetables and dark berries, as well as produced by bacteria in your intestines."
do you have information about vitamins,"summary : vitamins are substances that your body needs to grow and develop normally. there are 13 vitamins your body needs. they are       - vitamin a    - b vitamins (thiamine, riboflavin, niacin, pantothenic acid, biotin, vitamin b-6, vitamin b-12 and folate)    - vitamin c    - vitamin d    - vitamin e    - vitamin k       you can usually get all your vitamins from the foods you eat. your body can also make vitamins d and k. people who eat a vegetarian diet may need to take a vitamin b12 supplement.     each vitamin has specific jobs. if you have low levels of certain vitamins, you may get health problems. for example, if you don't get enough vitamin c, you could become anemic. some vitamins may help prevent medical problems. vitamin a prevents night blindness.    the best way to get enough vitamins is to eat a balanced diet with a variety of foods. in some cases, you may need to take vitamin supplements. it's a good idea to ask your health care provider first. high doses of some vitamins can cause problems.","Vitamins are substances your body needs to grow and develop normally. There are 13 vitamins, including vitamins A, C, D, E, K, and B vitamins. You can usually get all your vitamins from the foods you eat, but people who eat a vegetarian diet may need to take a vitamin B12 supplement. Each vitamin has specific jobs, and low levels can cause health problems. For example, vitamin C deficiency can lead to anemia. A balanced diet with a variety of foods is the best way to get enough vitamins, and in some cases, supplements may be necessary."
do you have information about volcanoes,"summary : a volcano is a vent in the earth's crust. hot rock, steam, poisonous gases, and ash reach the earth's surface when a volcano erupts. an eruption can also cause earthquakes, mudflows and flash floods, rock falls and landslides, acid rain, fires, and even tsunamis.    volcanic gas and ash can damage the lungs of small infants, older adults, and people with severe respiratory illnesses. volcanic ash can affect people hundreds of miles away from the eruption.    although there are no guarantees of safety during a volcanic eruption, you can take actions to protect yourself. you should have a disaster plan. being prepared can help reduce fear, anxiety, and losses. if you do experience a disaster, it is normal to feel stressed. you may need help in finding ways to cope.    federal emergency management agency","A volcano is a vent in the earth's crust where hot rock, steam, poisonous gases, and ash reach the surface during an eruption. This can cause earthquakes, mudflows, flash floods, and other hazards. Volcanic ash can also damage lungs and affect people hundreds of miles away. While there's no guarantee of safety, having a disaster plan and being prepared can help reduce fear and losses."
do you have information about water pollution,"summary : we all need clean water. people need it to grow crops and to operate factories, and for drinking and recreation. fish and wildlife depend on it to survive.     many different pollutants can harm our rivers, streams, lakes, and oceans. the three most common are soil, nutrients, and bacteria. rain washes soil into streams and rivers. the soil can kill tiny animals and fish eggs. it can clog the gills of fish and block light, causing plants to die. nutrients, often from fertilizers, cause problems in lakes, ponds, and reservoirs. nitrogen and phosphorus make algae grow and can turn water green. bacteria, often from sewage spills, can pollute fresh or salt water.     you can help protect your water supply:       - don't pour household products such as cleansers, beauty products, medicines, auto fluids, paint, and lawn care products down the drain. take them to a hazardous waste collection site.    - throw away excess household grease (meat fats, lard, cooking oil, shortening, butter, margarine, etc.) diapers, condoms, and personal hygiene products in the garbage can.    - clean up after your pets. pet waste contains nutrients and germs.       environmental protection agency","Many different pollutants can harm our waterways, including soil, nutrients, and bacteria. Soil can kill aquatic animals, clog fish gills, and block light, while nutrients from fertilizers can cause algae growth and turn water green. Bacteria from sewage spills can pollute water. You can help protect your water supply by not pouring household products down the drain, throwing away excess grease and certain household waste, and cleaning up after your pets."
do you have information about water safety,"summary : playing in the water - whether swimming, boating or diving - can be fun. it can also be dangerous, especially for children. being safe can help prevent injuries and drowning. to stay safe in the water       - avoid alcohol when swimming or boating    - wear a life jacket whenever you're in a boat    - don't swim alone, or in bad weather    - learn cpr    - learn to swim and teach your children to swim    - supervise your children when they are in the water    - prevent sunburns - use plenty of sunscreen","Playing in the water can be fun, but also dangerous, especially for children. To stay safe, avoid alcohol when swimming or boating, wear a life jacket, don't swim alone or in bad weather, learn CPR, learn to swim and supervise children when they're in the water."
do you have information about weight control,"summary : keeping a healthy weight is crucial. if you are underweight, overweight, or obese, you may have a higher risk of certain health problems.    about two thirds of adults in the u.s. are overweight or obese. achieving a healthy weight can help you control your cholesterol, blood pressure and blood sugar. it might also help you prevent weight-related diseases, such as heart disease, diabetes, arthritis and some cancers.     eating too much or not being physically active enough will make you overweight. to maintain your weight, the calories you eat must equal the energy you burn. to lose weight, you must use more calories than you eat. a weight-control strategy might include       - choosing low-fat, low-calorie foods    - eating smaller portions    - drinking water instead of sugary drinks    - being physically active       eating extra calories within a well-balanced diet can help to add weight.    nih: national institute of diabetes and digestive and kidney diseases","Keeping a healthy weight is crucial as it can help control cholesterol, blood pressure, and blood sugar, and prevent weight-related diseases such as heart disease, diabetes, arthritis, and some cancers. To achieve a healthy weight, it's essential to balance the calories you eat with the energy you burn. A weight-control strategy can include choosing low-fat, low-calorie foods, eating smaller portions, drinking water instead of sugary drinks, and being physically active."
do you have information about weight loss surgery,"summary : weight loss surgery helps people with extreme obesity to lose weight. it may be an option if you cannot lose weight through diet and exercise or have serious health problems caused by obesity.    there are different types of weight loss surgery. they often limit the amount of food you can take in. some types of surgery also affect how you digest food and absorb nutrients. all types have risks and complications, such as infections, hernias, and blood clots.    many people who have the surgery lose weight quickly, but regain some weight later on. if you follow diet and exercise recommendations, you can keep most of the weight off. you will also need medical follow-up for the rest of your life.    nih: national institute of diabetes and digestive and kidney diseases","Weight loss surgery helps people with extreme obesity lose weight, especially when diet and exercise are not effective or health problems arise. There are different types, which often limit food intake or affect digestion and nutrient absorption. While risks and complications exist, many people lose weight quickly, but some regain weight later. Following diet and exercise recommendations and medical follow-up can help maintain weight loss."
do you have information about winter weather emergencies,"summary : severe winter weather can lead to health and safety challenges. you may have to cope with       - cold related health problems, including frostbite and hypothermia     - household fires and carbon monoxide poisoning from space heaters and fireplaces    - unsafe driving conditions from icy roads    - power failures    - floods after snow and ice melt       although there are no guarantees of safety during winter weather emergencies, you can take actions to protect yourself. you should have a disaster plan. being prepared can help reduce fear, anxiety and losses. if you do experience a disaster, it is normal to feel stressed. you may need help in finding ways to cope.    centers for disease control and prevention","Severe winter weather can lead to health and safety challenges, including cold-related health problems, household fires, unsafe driving conditions, power failures, and floods. While there are no guarantees of safety, having a disaster plan and being prepared can help reduce fear, anxiety, and losses."
do you have information about womens health,"summary : women have unique health issues. and some of the health issues that affect both men and women can affect women differently.    unique issues include pregnancy, menopause, and conditions of the female organs. women can have a healthy pregnancy by getting early and regular prenatal care. they should also get recommended breast cancer, cervical cancer, and bone density screenings.    women and men also have many of the same health problems. but these problems can affect women differently. for example,       - women are more likely to die following a heart attack than men    - women are more likely to show signs of depression and anxiety than men    - the effects of sexually transmitted diseases can be more serious in women    - osteoarthritis affects more women than men    - women are more likely to have urinary tract problems       nih: national institute of child health and human development","Women have unique health issues, including pregnancy, menopause, and conditions of the female organs. They can have a healthy pregnancy with early and regular prenatal care. Women should also get recommended screenings for breast cancer, cervical cancer, and bone density. Additionally, women are more likely to experience certain health problems differently than men, such as heart attacks, depression, anxiety, and urinary tract problems."
do you have information about xrays,"summary : x-rays are a type of radiation called electromagnetic waves. x-ray imaging creates pictures of the inside of your body. the images show the parts of your body in different shades of black and white. this is because different tissues absorb different amounts of radiation. calcium in bones absorbs x-rays the most, so bones look white. fat and other soft tissues absorb less, and look gray. air absorbs the least, so lungs look black.    the most familiar use of x-rays is checking for broken bones, but x-rays are also used in other ways. for example, chest x-rays can spot pneumonia. mammograms use x-rays to look for breast cancer.    when you have an x-ray, you may wear a lead apron to protect certain parts of your body. the amount of radiation you get from an x-ray is small. for example, a chest x-ray gives out a radiation dose similar to the amount of radiation you're naturally exposed to from the environment over 10 days.","X-rays are a type of electromagnetic radiation that creates pictures of the inside of your body. The images show different shades of black and white due to varying tissue absorption. Bones appear white, soft tissues gray, and lungs black. X-rays are used for various purposes, including checking for broken bones, spotting pneumonia, and detecting breast cancer."
how can botulism be prevented?,"many cases of botulism are preventable. foodborne botulism has often been from home-canned foods with low acid content, such as asparagus, green beans, beets and corn and is caused by failure to follow proper canning methods. however, seemingly unlikely or unusual sources are found every decade, with the common problem of improper handling during manufacture, at retail, or by consumers; some examples are chopped garlic in oil, canned cheese sauce, chile peppers, tomatoes, carrot juice, and baked potatoes wrapped in foil. in alaska, foodborne botulism is caused by fermented fish and other aquatic game foods. persons who do home canning should follow strict hygienic procedures to reduce contamination of foods, and carefully follow instructions on safe home canning including the use of pressure canners/cookers as recommended through county extension services or from the us department of agriculture. oils infused with garlic or herbs should be refrigerated. potatoes which have been baked while wrapped in aluminum foil should be kept hot until served or refrigerated. because the botulinum toxin is destroyed by high temperatures, persons who eat home-canned foods should consider boiling the food for 10 minutes before eating it to ensure safety. wound botulism can be prevented by promptly seeking medical care for infected wounds and by not using injectable street drugs. most infant botulism cases cannot be prevented because the bacteria that causes this disease is in soil and dust.  the bacteria can be found inside homes on floors, carpet, and countertops even after cleaning.  honey can contain the bacteria that causes infant botulism so, children less than 12 months old should not be fed honey. honey is safe for persons 1 year of age and older.","Foodborne botulism can be prevented by following proper canning methods, using pressure canners/cookers, and refrigerating oils infused with garlic or herbs. When eating home-canned foods, consider boiling them for 10 minutes before consumption. Wound botulism can be prevented by seeking medical care for infected wounds and avoiding injectable street drugs. Infant botulism cases cannot be prevented, but children under 12 months should not be fed honey, as it can contain the bacteria that causes the disease."
how can botulism be treated?,"the respiratory failure and paralysis that occur with severe botulism may require a patient to be on a breathing machine (ventilator) for weeks or months, plus intensive medical and nursing care. the paralysis slowly improves. botulism can be treated with an antitoxin which blocks the action of toxin circulating in the blood. antitoxin for infants is available from the california department of public health, and antitoxin for older children and adults is available through cdc.if given before paralysis is complete, antitoxin can prevent worsening and shorten recovery time. physicians may try to remove contaminated food still in the gut by inducing vomiting or by using enemas. wounds should be treated, usually surgically, to remove the source of the toxin-producing bacteria followed by administration of appropriate antibiotics. good supportive care in a hospital is the mainstay of therapy for all forms of botulism.","The respiratory failure and paralysis that occur with severe botulism may require a patient to be on a breathing machine for weeks or months, plus intensive medical and nursing care. Botulism can be treated with an antitoxin that blocks the action of toxin circulating in the blood, which can prevent worsening and shorten recovery time if given before paralysis is complete."
how can hps be prevented for hantavirus ?,"eliminate or minimize contact with rodents in your home, workplace, or campsite. if rodents don't find that where you are is a good place for them to be, then you're less likely to come into contact with them. seal up holes and gaps in your home or garage. place traps in and around your home to decrease rodent infestation. clean up any easy-to-get food.
  
recent research results show that many people who became ill with hps developed the disease after having been in frequent contact with rodents and/or their droppings around a home or a workplace. on the other hand, many people who became ill reported that they had not seen rodents or rodent droppings at all. therefore, if you live in an area where the carrier rodents are known to live, try to keep your home, vacation place, workplace, or campsite clean.
  
for more information on how you can prevent rodent infestations, the following information is available on the cdc rodents site:","Eliminate or minimize contact with rodents in your home, workplace, or campsite by sealing up holes and gaps, placing traps, and cleaning up easy-to-get food."
how can patients prevent the spread of vancomycinresistant enterococci?,"on this page general information what is vancomycin-resistant enterococci? what types of infections does vancomycin-resistant enterococci cause? are certain people at risk of getting vancomycin-resistant enterococci? what is the treatment for vancomycin-resistant enterococci? how is vancomycin-resistant enterococci spread? how can patients prevent the spread of vancomycin-resistant enterococci? what should a patient do if they think they have vancomycin-resistant enterococci? recommendations and guidelines general information for more images of this bacterium, search the public health image library what is vancomycin-resistant enterococci? enteroccocci are bacteria that are normally present in the human intestines and in the female genital tract and are often found in the environment. these bacteria can sometimes cause infections. vancomycin is an antibiotic that is used to treat some drug-resistant infections caused by enterococci. in some instances, enterococci have become resistant to this drug and thus are called vancomycin-resistant enterococci (vre). most vre infections occur in hospitals. top of page what types of infections does vre cause? vre can live in the human intestines and female genital tract without causing disease (often called colonization). however, sometimes it can cause infections of the urinary tract, the bloodstream, or of wounds associated with catheters or surgical procedures. top of page are certain people at risk of getting vre? the following persons are at increased risk becoming infected with vre: people who have been previously treated with the antibiotic vancomycin or other antibiotics for long periods of time. people who are hospitalized, particularly when they receive antibiotic treatment for long periods of time. people with weakened immune systems such as patients in intensive care units, or in cancer or transplant wards. people who have undergone surgical procedures such as abdominal or chest surgery. people with medical devices that stay in for some time such as urinary catheters or central intravenous (iv) catheters. people who are colonized with vre. top of page what is the treatment for vre? people with colonized vre (bacteria are present, but have no symptoms of an infection)  do not need treatment. most vre infections can be treated with antibiotics other than vancomycin. laboratory testing of the vre can determine which antibiotics will work. for people who get vre infections in their bladder and have urinary catheters, removal of the catheter when it is no longer needed can also help get rid of the infection. top of page how is vre spread? vre is often passed from person to person by the contaminated hands of caregivers. vre can get onto a caregiver's hands after they have contact with other people with vre or after contact with contaminated surfaces. vre can also be spread directly to people after they touch surfaces that are contaminated with vre. vre is not spread through the air by coughing or sneezing. top of page how can patients prevent the spread of vre? if a patient or someone in their household has vre, the following are some things they can do to prevent the spread of vre: keep their hands clean. always wash their hands thoroughly after using the bathroom and before preparing food. clean their hands after contact with persons who have vre. wash with soap and water (particularly when visibly soiled) or use alcohol-based hand rubs. frequently clean areas of the home, such as bathrooms, that may become contaminated with vre. wear gloves if hands may come in contact with body fluids that may contain vre, such as stool or bandages from infected wounds. always wash their hands after removing gloves. if someone has vre, be sure to tell healthcare providers so that they are aware of the infection. healthcare facilities use special precautions to help prevent the spread of vre to others. top of page what should patients do if they think they have vancomycin-resistant enterococci (vre)? anyone who thinks they have vre must talk with their healthcare provider. top of page recommendations and guidelines for more information about prevention and treatment of hais, see the resources below: siegel jd, rhinehart e, jackson m, et al. the healthcare infection control practices advisory committee (hicpac). management of multidrug-resistant organisms in healthcare settings, 2006","Patients can prevent the spread of vancomycin-resistant enterococci (VRE) by:

* Keeping their hands clean by washing them thoroughly after using the bathroom and before preparing food
* Cleaning their hands after contact with persons who have VRE
* Washing with soap and water or using alcohol-based hand rubs
* Frequently cleaning areas of the home that may become contaminated with VRE
* Wearing gloves if hands may come in contact with body fluids that may contain VRE
* Always washing their hands after removing gloves"
how can the spread of visa and vrsa be prevented?,"on this page general information about visa/vrsa what is staphylococcus aureus? how do visa and vrsa get their names? what should a patient do if they suspect they have a staph, mrsa, visa, or vrsa infection? are visa and vrsa infections treatable? how can the spread of visa and vrsa be prevented? what should a person do if a family member or close friend has visa or vrsa? what is cdc doing to address visa and vrsa? recommendations and guidelines general information about visa/vrsa for more images of this bacterium, search the public health image library vancomycin [van−kō−mī−sin]-intermediate staphylococcus aureus [staff−u−lu−kaw−kus  aw−ree−us] (also called visa) and vancomycin-resistant staphylococcus aureus (also called vrsa) are specific types of antimicrobial-resistant bacteria. however, as of october 2010, all visa and vrsa isolates have been susceptible to other food and drug administration (fda)-approved drugs. persons who develop this type of staph infection may have underlying health conditions (such as diabetes and kidney disease), tubes going into their bodies (such as catheters), previous infections with methicillin-resistant staphylococcus aureus (mrsa), and recent exposure to vancomycin and other antimicrobial agents. what is staphylococcus aureus? staphylococcus aureus is a bacterium commonly found on the skin and in the nose of about 30% of individuals. most of the time, staph does not cause any harm. these infections can look like pimples, boils, or other skin conditions and most are able to be treated. sometimes staph bacteria can get into the bloodstream and cause serious infections which can be fatal, including: bacteremia or sepsis when bacteria spread to the bloodstream usually as a result of using catheters or having surgery. pneumonia which predominantly affects people with underlying lung disease including those on mechanical ventilators. endocarditis (infection of the heart valves) which can lead to heart failure. osteomyelitis (bone infection) which can be caused by staph bacteria traveling in the bloodstream or put there by direct contact such as following trauma (puncture wound of foot or intravenous (iv) drug abuse). top of page how do visa and vrsa get their names? staph bacteria are classified as visa or vrsa based on laboratory tests. laboratories perform tests to determine if staph bacteria are resistant to antimicrobial agents that might be used for treatment of infections. for vancomycin and other antimicrobial agents, laboratories determine how much of the agent it requires to inhibit the growth of the organism in a test tube. the result of the test is usually expressed as a minimum inhibitory concentration (mic) or the minimum amount of antimicrobial agent that inhibits bacterial growth in the test tube. therefore, staph bacteria are classified as visa if the mic for vancomycin is 4-8µg/ml, and classified as vrsa if the vancomycin mic is ≥16µg/ml. top of page what should a patient do if they suspect they have a staph, mrsa, visa, or vrsa infection? see a healthcare provider. top of page are visa and vrsa infections treatable? yes. as of october 2010, all visa and vrsa isolates have been susceptible to several food and drug administration (fda)-approved drugs. top of page how can the spread of visa and vrsa be prevented? use of appropriate infection control practices (such as wearing gloves before and after contact with infectious body substances and adherence to hand hygiene) by healthcare personnel can reduce the spread of visa and vrsa. top of page what should a person do if a family member or close friend has visa or vrsa? visa and vrsa are types of antibiotic-resistant staph bacteria. therefore, as with all staph bacteria, spread occurs among people having close physical contact with infected patients or contaminated material, such as bandages. persons having close physical contact with infected patients while they are outside of the healthcare setting should: (1) keep their hands clean by washing thoroughly with soap and water, and (2) avoid contact with other people's wounds or material contaminated from wounds. if they go to the hospital to visit a friend or family member who is infected with visa or vrsa , they must follow the hospital's recommended precautions. top of page what is cdc doing to address visa and vrsa? in addition to providing guidance for clinicians and infection control personnel, cdc is also working with state and local health agencies, healthcare facilities, and clinical microbiology laboratories to ensure that laboratories are using proper methods to detect visa and vrsa. top of page recommendations and guidelines cdc issued a clinical reminder, in 2010, which serves as a reminder about the important role of clinical laboratories in the diagnosis of vrsa cases to ensure prompt recognition, isolation, and management by infection control personnel. investigation and control of vancomycin-resistant staphylococcus aureus (vrsa) [pdf - 300 kb] - this document is a guide to conducting a public health investigation of patients from whom vancomycin-resistant staphylococcus aureus (vrsa, vancomycin mic ≥ 16 µg/ml) has been isolated. the information reflects the experience gained from field investigations of the first fourteen vrsa identified in the united states. top of page","Use of appropriate infection control practices, such as wearing gloves and adhering to hand hygiene, by healthcare personnel can reduce the spread of visa and vrsa."
how can these diseases be diagnosed for marine toxins ?,"diagnosis of marine toxin poisoning is generally based on symptoms and a history of recently eating a particular kind of seafood. laboratory testing for the specific toxin in patient samples is generally not necessary because this requires special techniques and equipment available in only specialized laboratories. if suspect, leftover fish or shellfish are available, they can be tested for the presence of the toxin more easily. identification of the specific toxin is not usually necessary for treating patients because there is no specific treatment.","Marine toxin poisoning is typically diagnosed based on symptoms and a history of eating certain seafood. Laboratory testing is not usually necessary, as it requires specialized equipment. If leftover fish or shellfish are available, they can be tested for the toxin's presence."
how can these diseases be treated for marine toxins ?,"other than supportive care there are few specific treatments for ciguatera poisoning, paralytic shellfish poisoning, neurotoxic shellfish poisoning, or amnesic shellfish poisoning. antihistamines and epinephrine, however, may sometimes be useful in treating the symptoms of scombrotoxic fish poisoning. intravenous mannitol has been suggested for the treatment of severe ciguatera poisoning.","Few specific treatments exist for marine toxins, except supportive care. Antihistamines and epinephrine may help with symptoms, while intravenous mannitol has been suggested for severe ciguatera poisoning."
how can y enterocolitica infections be diagnosed for yersinia ?,"y. enterocolitica infections are generally diagnosed by detecting the organism in the stools. many laboratories do not routinely test for y. enterocolitica,so it is important to notify laboratory personnel when infection with this bacterium is suspected so that special tests can be done. the organism can also be recovered from other sites, including the throat, lymph nodes, joint fluid, urine, bile, and blood.","Yersinia enterocolitica infections are diagnosed by detecting the organism in the stools. Special tests can be done if suspected, and the organism can also be recovered from other sites such as throat, lymph nodes, joint fluid, urine, bile, and blood."
how can y enterocolitica infections be treated for yersinia ?,"uncomplicated cases of diarrhea due to y. enterocolitica usually resolve on their own without antibiotic treatment. however, in more severe or complicated infections, antibiotics such as aminoglycosides, doxycycline, trimethoprim-sulfamethoxazole, or fluoroquinolones may be useful.","Uncomplicated cases of diarrhea due to Y. enterocolitica usually resolve on their own without antibiotic treatment. In more severe or complicated infections, antibiotics such as aminoglycosides, doxycycline, trimethoprim-sulfamethoxazole, or fluoroquinolones may be useful."
how common are these diseases for marine toxins ?,"every year, approximately 30 cases of poisoning by marine toxins are reported in the united states. because healthcare providers are not required to report these illnesses and because many milder cases are not diagnosed or reported, the actual number of poisonings may be much greater. toxic seafood poisonings are more common in the summer than winter because dinoflagelates grow well in warmer seasons. it is estimated from cases with available data that one person dies every 4 years from toxic seafood poisonings.","Approximately 30 cases of marine toxin poisoning are reported in the United States each year, with the actual number likely being higher due to underreporting."
how common is botulism?,"in the united states, an average of 145 cases are reported each year.of these, approximately 15% are foodborne, 65% are infant botulism, and 20% are wound. adult intestinal colonization and iatrogenic botulism also occur, but rarely. outbreaks of foodborne botulism involving two or more persons occur most years and are usually caused by home-canned foods. most wound botulism cases are associated with black-tar heroin injection, especially in california.","145 cases of botulism are reported in the United States each year, with 15% being foodborne, 65% infant botulism, and 20% wound botulism."
how common is infection with y enterocolitica for yersinia ?,"y. enterocolitica is a relatively infrequent cause of diarrhea and abdominal pain. based on data from the foodborne diseases active surveillance network (foodnet), which measures the burden and sources of specific diseases over time, approximately one culture-confirmed y. enterocolitica infection per 100,000 persons occurs each year. children are infected more often than adults, and the infection is more common in the winter.","Y. enterocolitica is a relatively infrequent cause of diarrhea and abdominal pain, with approximately one culture-confirmed infection per 100,000 persons occurring each year. Children are infected more often than adults, and the infection is more common in the winter."
how is botulism diagnosed?,"physicians may consider the diagnosis if the patient's history and physical examination suggest botulism. however, these clues are usually not enough to allow a diagnosis of botulism. other diseases such as guillain-barré syndrome, stroke, and myasthenia gravis can appear similar to botulism, and special tests may be needed to exclude these other conditions. these tests may include a brain scan, spinal fluid examination, nerve conduction test (electromyography, or emg), and a tensilon test for myasthenia gravis. tests for botulinum toxin and for bacteria that cause botulism can be performed at some state health department laboratories and at cdc.","Physicians consider the diagnosis if the patient's history and physical examination suggest botulism. However, these clues are usually not enough to allow a diagnosis of botulism. Special tests may be needed to exclude other conditions, such as a brain scan, spinal fluid examination, nerve conduction test, and tensilon test."
how is hps diagnosed and treated for hantavirus ?,"diagnosing hps
  
diagnosing hps in an individual who has only been infected a few days is difficult, because early symptoms such as fever, muscle aches, and fatigue are easily confused with influenza. however, if the individual is experiencing fever and fatigue and has a history of potential rural rodent exposure, together with shortness of breath, would be strongly suggestive of hps. if the individual is experiencing these symptoms they should see their physician immediately and mention their potential rodent exposure.
  treating hps
  
    
      
     
   
  
  
there is no specific treatment, cure, or vaccine for hantavirus infection. however, we do know that if infected individuals are recognized early and receive medical care in an intensive care unit, they may do better. in intensive care, patients are intubated and given oxygen therapy to help them through the period of severe respiratory distress.
  
the earlier the patient is brought in to intensive care, the better. if a patient is experiencing full distress, it is less likely the treatment will be effective.
  
therefore, if you have been around rodents and have symptoms of fever, deep muscle aches, and severe shortness of breath, see your doctor immediately. be sure to tell your doctor that you have been around rodents—this will alert your physician to look closely for any rodent-carried disease, such as hps.","Diagnosing HPS in the early stages is challenging due to similar symptoms to influenza. However, if an individual has a history of rural rodent exposure, fever, fatigue, and shortness of breath, it may suggest HPS. They should see a physician immediately and mention their rodent exposure.

There is no specific treatment, cure, or vaccine for Hantavirus infection. Early recognition and medical care in an intensive care unit may improve outcomes. Patients are intubated and given oxygen therapy to manage severe respiratory distress. The earlier treatment is initiated, the better the outcome."
how is rabies diagnosed?,"in animals, rabies is diagnosed using the direct fluorescent antibody (dfa) test, which looks for the presence of rabies virus antigens in brain tissue. in humans, several tests are required.
 
rapid and accurate laboratory diagnosis of rabies in humans and other animals is essential for timely administration of postexposure prophylaxis. within a few hours, a diagnostic laboratory can determine whether or not an animal is rabid and inform the responsible medical personnel. the laboratory results may save a patient from unnecessary physical and psychological trauma, and financial burdens, if the animal is not rabid.
 
in addition, laboratory identification of positive rabies cases may aid in defining current epidemiologic patterns of disease and provide appropriate information for the development of rabies control programs.
 
the nature of rabies disease dictates that laboratory tests be standardized, rapid, sensitive, specific, economical, and reliable.","Rabies is diagnosed in animals using the direct fluorescent antibody (DFA) test, which detects rabies virus antigens in brain tissue. In humans, several tests are required."
how many people are affected by 15q133 microdeletion ?,"15q13.3 microdeletion likely occurs in about 1 in 40,000 people in the general population. it appears to be more common in people with intellectual disability, epilepsy, schizophrenia, or autism spectrum disorders.","About 1 in 40,000 people in the general population are affected by 15q13.3 microdeletion."
how many people are affected by 15q24 microdeletion ?,this condition is very rare; only a few dozen affected individuals have been identified.,Only a few dozen affected individuals have been identified.
